47	146	147    166    171
47	72	166    167    171
47	147	166    167    171
47	48	72    167    172
47	48	147    167    172
48	72	73    167    172
48	147	148    167    172
48	73	167    168    172
48	148	167    168    172
47	72	167    171    172
47	147	167    171    172
48	49	73    168    173
48	49	148    168    173
49	73	74    168    173
49	148	149    168    173
49	74	168    169    173
49	149	168    169    173
48	73	168    172    173
48	148	168    172    173
49	50	74    169    174
49	50	149    169    174
50	74	75    169    174
50	149	150    169    174
50	75	169    170    174
50	150	169    170    174
49	74	169    173    174
49	149	169    173    174
50	75	170    174    175
50	150	170    174    175
51	52	56    76    176
51	52	56    151    176
52	56	57    76    176
52	56	57    151    176
52	57	76    77    176
56	57	76    81    176
57	76	77    81    176
57	77	81    82    176
52	57	151    152    176
56	57	151    156    176
57	151	152    156    176
57	152	156    157    176
52	53	57    77    177
52	53	57    152    177
53	57	58    77    177
53	57	58    152    177
53	58	77    78    177
57	58	77    82    177
58	77	78    82    177
58	78	82    83    177
53	58	152    153    177
57	58	152    157    177
58	152	153    157    177
58	153	157    158    177
52	57	77    176    177
52	57	152    176    177
57	77	82    176    177
57	152	157    176    177
53	54	58    78    178
53	54	58    153    178
54	58	59    78    178
54	58	59    153    178
54	59	78    79    178
58	59	78    83    178
59	78	79    83    178
59	79	83    84    178
54	59	153    154    178
58	59	153    158    178
59	153	154    158    178
59	154	158    159    178
53	58	78    177    178
53	58	153    177    178
58	78	83    177    178
58	153	158    177    178
54	55	59    79    179
54	55	59    154    179
55	59	60    79    179
55	59	60    154    179
55	60	79    80    179
59	60	79    84    179
60	79	80    84    179
60	80	84    85    179
55	60	154    155    179
59	60	154    159    179
60	154	155    159    179
60	155	159    160    179
54	59	79    178    179
54	59	154    178    179
59	79	84    178    179
59	154	159    178    179
55	60	80    179    180
55	60	155    179    180
60	80	85    179    180
60	155	160    179    180
56	57	61    81    181
56	57	61    156    181
57	61	62    81    181
57	61	62    156    181
57	62	81    82    181
61	62	81    86    181
62	81	82    86    181
62	82	86    87    181
57	62	156    157    181
61	62	156    161    181
62	156	157    161    181
62	157	161    162    181
56	57	81    176    181
56	57	156    176    181
57	81	82    176    181
57	156	157    176    181
57	82	176    177    181
57	157	176    177    181
57	58	62    82    182
57	58	62    157    182
58	62	63    82    182
58	62	63    157    182
58	63	82    83    182
62	63	82    87    182
63	82	83    87    182
63	83	87    88    182
58	63	157    158    182
62	63	157    162    182
63	157	158    162    182
63	158	162    163    182
57	58	82    177    182
57	58	157    177    182
58	82	83    177    182
58	157	158    177    182
58	83	177    178    182
58	158	177    178    182
57	62	82    181    182
57	62	157    181    182
62	82	87    181    182
62	157	162    181    182
57	82	177    181    182
57	157	177    181    182
58	59	63    83    183
58	59	63    158    183
59	63	64    83    183
59	63	64    158    183
59	64	83    84    183
63	64	83    88    183
64	83	84    88    183
64	84	88    89    183
59	64	158    159    183
63	64	158    163    183
64	158	159    163    183
64	159	163    164    183
58	59	83    178    183
58	59	158    178    183
59	83	84    178    183
59	158	159    178    183
59	84	178    179    183
59	159	178    179    183
58	63	83    182    183
58	63	158    182    183
63	83	88    182    183
63	158	163    182    183
58	83	178    182    183
58	158	178    182    183
59	60	64    84    184
59	60	64    159    184
60	64	65    84    184
60	64	65    159    184
60	65	84    85    184
64	65	84    89    184
65	84	85    89    184
65	85	89    90    184
60	65	159    160    184
64	65	159    164    184
65	159	160    164    184
65	160	164    165    184
59	60	84    179    184
59	60	159    179    184
60	84	85    179    184
60	159	160    179    184
60	85	179    180    184
60	160	179    180    184
59	64	84    183    184
59	64	159    183    184
64	84	89    183    184
64	159	164    183    184
59	84	179    183    184
59	159	179    183    184
60	65	85    184    185
60	65	160    184    185
65	85	90    184    185
65	160	165    184    185
60	85	180    184    185
60	160	180    184    185
61	62	66    86    186
61	62	66    161    186
62	66	67    86    186
62	66	67    161    186
62	67	86    87    186
66	67	86    91    186
67	86	87    91    186
67	87	91    92    186
62	67	161    162    186
66	67	161    166    186
67	161	162    166    186
67	162	166    167    186
61	62	86    181    186
61	62	161    181    186
62	86	87    181    186
62	161	162    181    186
62	87	181    182    186
62	162	181    182    186
62	63	67    87    187
62	63	67    162    187
63	67	68    87    187
63	67	68    162    187
63	68	87    88    187
67	68	87    92    187
68	87	88    92    187
68	88	92    93    187
63	68	162    163    187
67	68	162    167    187
68	162	163    167    187
68	163	167    168    187
62	63	87    182    187
62	63	162    182    187
63	87	88    182    187
63	162	163    182    187
