fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
OGC Pumpkin Carving x Costume Contest Benefitting THON,Item Sale,Oriana Singers  & Pennsylvania State University Glee Club Glee Club,134 & 135,10/15/2023,10/15/2023,Primary Chair's House: 105 ADAMS AVE  STATE COLLEGE PA 16803,Approved,180,72,General,,
Divine Caramel Apples X Benefitting THON,Item Sale,Alexa Breisch and Kayla Breisch (2024),3108,11/20/2023,11/25/2023,,Approved,250,190,Independent Couple,,
Chiefs v.s. Eagles Football Squares Benefitting THON,Sporting Event,Danil Kurtz and Kayla Martinis (2024),3158,11/20/2023,11/20/2023,,Denied,540,,Independent Couple,,
Anna & Diane Bake Sale Benefitting THON,Bake Sale,Anna Boyer and Diane Friedman (2024),3086,11/21/2023,11/21/2023,Anna Boyer: 41 WOODWORTH ST  VICTOR NY 14564,Approved,100,76,Independent Couple,,
Whiplash and PKT's Ribbon Sale Benefitting THON,Item Sale,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,10/15/2023,10/15/2023,Family Clothes Line: 352 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,174,Greek,,
AED x PEK Pie the Exec Benefitting THON,Item Sale,Alpha Epsilon Delta & Phi Epsilon Kappa PEK,65 & 2457,10/15/2023,10/15/2023,Top of HUB Lawn:     ,Approved,250,279,joint,,
FOTO Candles Benefitting THON,Item Sale,FOTO ,1336,10/16/2023,10/29/2023,,Approved,99.99,294,Special Interest,,
Van Otis Chocolates Benefitting THON,Item Sale,World Campus,1318,10/16/2023,10/29/2023,,Approved,100,0,Commonwealth,,
PSU Figure Skating Gardner's Candies Benefitting THON,Item Sale,Figure Skating,1334,10/16/2023,10/29/2023,,Approved,100,,General,,
Penn State Law Photo Contest Benefitting THON,Item Sale,Penn State Law,1552,10/17/2023,10/19/2023,Katz building atrium:     ,Approved,25,26.86,Commonwealth,,
Penn State Law Candy Jar Guessing Benefitting THON,Item Sale,Penn State Law,1552,10/17/2023,10/19/2023,Katz building atrium:     ,Approved,20,4,Commonwealth,,
Phi Sigma Pi Tie Dye Benefitting THON,Item Sale,Phi Sigma Pi PSP,60,10/17/2023,10/17/2023,Thomas 120:,Approved,150,105,General,,
Penn State CrossFit Club Bracelet sale Benefitting THON,Item Sale,Crossfit Club at Penn State ,542,10/17/2023,10/22/2023,,Approved,100,36,General,,
Whiplash x PKT Texas Roadhouse Fundraiser Benefitting THON,Item Sale,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,10/17/2023,10/17/2023,UP: HUB Main Lounge Table #1:,Approved,500,75,Greek,,
Pi Beta Phi and Sigma Phi Epsilon Roots Benefitting THON,Item Sale,Pi Beta Phi Pi Phi & Sigma Phi Epsilon,18 & 11,10/17/2023,10/17/2023,Roots Natural Kitchen: 270 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,250,0,Greek,,
Alpha Omicron Pi x Linked Permanent Jewelry Benefitting THON,Item Sale,Alpha Omicron Pi AOII,8,10/18/2023,10/18/2023,Sorority Sister and THON Chair Gabby Lee's House: 120 E HAMILTON AVE  STATE COLLEGE PA 16801,Approved,100,0,Greek,,
Phi Eta Sigma Pumpkin Painting Benefitting THON,Item Sale,Phi Eta Sigma ,111,10/18/2023,10/18/2023,Heritage Hall:     ,Canceled,275,,General,,
Trilogy and Phi Sigma Kappa Pumpkin Carving Benefitting THON,Item Sale,Phi Sigma Kappa PSK & Trilogy ,72 & 10,10/18/2023,10/18/2023,Phi Sigma Kappa House: 501 S ALLEN ST  STATE COLLEGE PA 16801,Approved,200,300,Greek,,
Club Sailing Fall Fundraiser Benefitting THON,Item Sale,Club Sailing  & Dance Alliance PSDA,408 & 1553,10/18/2023,10/18/2023,Sackett Building:     ,Approved,50,116,General,,
Trilogy and Phi Sigma Kappa Breakfast Sandwich Sale Benefitting THON,Item Sale,Phi Sigma Kappa PSK & Trilogy ,72 & 10,10/19/2023,10/22/2023,,Canceled,300,,Greek,,
Penn State CHAARG + BOO Bags Benefitting THON,Item Sale,"Changing Health, Attitudes, and Actions To Recreate Girls at Penn State CHAARG",2098,10/19/2023,10/19/2023,,Approved,125,1715,General,,
Penn State CHAARG + The Makery Benefitting THON,Item Sale,"Changing Health, Attitudes, and Actions To Recreate Girls at Penn State CHAARG",2098,10/19/2023,10/19/2023,The Makery: 123 S FRASER ST  STATE COLLEGE PA 16801,Approved,60,0,General,,
Everyday Pumpkin Sale x Benefitting THON,Item Sale,Everyday Benefitting THON Everyday,1194,10/19/2023,10/19/2023,Findlay Commons Desk #1:,Approved,50,,Special Interest,,
Alpha Xi Delta Connections Fundraiser Benefitting THON,Item Sale,Alpha Xi Delta AXID,31,10/19/2023,10/19/2023,Connections Clothing: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,200,0,Greek,,
Phi Chi Theta Ribbon Sale at the Field Benefitting THON,Item Sale,Phi Chi Theta ,206,10/20/2023,10/20/2023,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,150,General,,
Build Your Own Pasta Fundraiser Benefitting THON,Item Sale,Boulevard BLVD,1784,10/20/2023,10/20/2023,Our Fundraising Captain (Jade's) Apartment at Nicholas Tower: 301 S PUGH ST Apt 604 STATE COLLEGE PA 16801,Approved,30,70,General,,
Caroline and Yani Maryland Bake Sale Benefitting THON,Bake Sale,Caroline Riley and Yani Hawthorne (2024),3103,11/21/2023,11/22/2023,Yani's House: 5619 MYCROFT ST  ELDERSBURG MD 21784,Approved,100,107,Independent Couple,,
Springfield Bowling Benefitting THON,Item Sale,Springfield ,42,10/20/2023,10/20/2023,Northland Bowling: 1521 MARTIN ST  STATE COLLEGE PA 16803,Approved,60,22,Special Interest,,
Delta Gamma x Delta Upsilon Ribboning Benefitting THON,Item Sale,Delta Gamma & Delta Upsilon International Fraternity Delta Upsilon,1544 & 37,10/20/2023,10/20/2023,GNC: 200 E COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,250,,Greek,,
Penn State Lehigh Valley Ribbon Sale Benefitting THON,Item Sale,Lehigh Valley,113,10/21/2023,10/21/2023,Penn State Lehigh Valley:     ,Approved,100,80,Commonwealth,,
Behrend Ribbon Sales at Brookside Firehall for Behrend Benefitting THON,Item Sale,Behrend,73,10/21/2023,10/21/2023,Brookside Fire Company Station 24: 3560 ATHENS ST  ERIE PA 16510,Approved,150,85,Commonwealth,,
Alpha Xi Delta & Lambda Chi Alpha Ribbon Sale Benefitting THON,Item Sale,Alpha Xi Delta AXID & Lambda Chi Alpha,31 & 5,10/21/2023,10/21/2023,The Original Waffle Shop West: 1610 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,400,196,Greek,,
Alpha Rho Chi Pumpkin Carving Benefitting THON,Item Sale,Alpha Rho Chi APX,190,10/21/2023,10/21/2023,Alpha Rho Chi Chapter House: 320 S FRASER ST  STATE COLLEGE PA 16801,Denied,200,,Greek,,
Phi Chi Theta Ribbon Sale at The Naked Egg Cafe Benefitting THON,Item Sale,Phi Chi Theta ,206,10/22/2023,10/22/2023,THe Naked Egg Cafe: 320 PINE GROVE RD  STATE COLLEGE PA 16801,Canceled,100,,General,,
Alpha Omicron Pi & Phi Kappa Psi Yellow Ribbon Sale Benefitting THON,Item Sale,Alpha Omicron Pi AOII & Phi Kappa Psi,8 & 32,10/22/2023,10/22/2023,Mclanahans Penn State Room: 414 E COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,100,,Greek,,
Phi Chi Theta Ribbon Sale at the Field Benefitting THON,Item Sale,Phi Chi Theta ,206,10/22/2023,10/22/2023,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,206,General,,
Phi Sigma Rho and Chi Phi Dunk Tank Benefitting THON,Item Sale,Chi Phi & Phi Sigma Rho Phi Rho,81 & 160,10/22/2023,10/22/2023,Chi Phi House: 360 E HAMILTON AVE  STATE COLLEGE PA 16801,Approved,100,590,Greek,,
Whiplash x Men’s Ice Hockey Club Bracelet Fundraiser Benefitting THON,Item Sale,Men's Ice Hockey Club Ice Lions & Whiplash Dance Team,215 & 129,10/22/2023,10/22/2023,Pegula Ice Arena:     ,Approved,50,236,General,,
Penn State DuBois Gardners Candies Benefitting THON,Item Sale,Dubois,166,10/23/2023,10/31/2023,Penn State DuBois:     ,Approved,200,0,Commonwealth,,
Common Ground Coffee Sale x Benefitting THON,Item Sale,Harrisburg,164,10/23/2023,11/4/2023,,Approved,100,,Commonwealth,,
Women in Business Halloween Candygrams Benefitting THON,Item Sale,Women In Business WIB,151,10/23/2023,10/30/2023,207 Hub:,Approved,100,103,General,,
Bracelet sale Benefitting THON,Item Sale,Carly Weisfelner and Emily Locker (2024),3085,11/21/2023,11/21/2023,Woodbury shopping center: 7929 JERICHO TPKE  WOODBURY NY 11797,Denied,200,,Independent Couple,,
FOTO Keychains Benefitting THON,Item Sale,FOTO ,1336,10/23/2023,11/5/2023,My apartment: 307 LOCUST LN Apartment 207 STATE COLLEGE PA 16801,Approved,90,36,Special Interest,,
Volé Flowers for Showcase Benefitting THON,Item Sale,Volé,126,10/23/2023,11/4/2023,Eisenhower Auditorium:     ,Approved,100,705,General,,
Phi Eta Sigma Pumpkin Painting Benefitting THON,Item Sale,Phi Eta Sigma ,111,10/23/2023,10/23/2023,Flex Theater in the HUB:     ,Approved,270,75,General,,
TEPxGSS Bingo Boards Benefitting THON,Item Sale,Gamma Sigma Sigma  & Tau Epsilon Phi TEP,46 & 2213,10/23/2023,10/29/2023,,Denied,100,,Greek,,
Dancer Relations BOO Bags Benefitting THON,Item Sale,THON Dancer Relations,1006,10/23/2023,11/1/2023,,Approved,150,172,joint,,
Society of Women Engineers Bracelet Making Benefitting THON,Item Sale,Society of Women Engineers SWE,57,10/23/2023,10/23/2023,Willard 265:,Approved,25,70,General,,
Pumpkin Painting Benefitting THON,Item Sale,Theme Park Engineering Group Penn State TPEG,93,10/23/2023,10/23/2023,117 Sackett Building:,Approved,50,40,General,,
Penn State Law Pumpkin Painting Benefitting THON,Item Sale,Penn State Law,1552,10/24/2023,10/24/2023,Katz lawn:     ,Canceled,80,,Commonwealth,,
Permanent Jewelry Benefitting THON,Item Sale,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,10/24/2023,10/24/2023,Thomas Building:     ,Approved,100,0,Greek,,
Unison Halloween Tabling Benefitting THON,Item Sale,Unison ,3124,10/24/2023,10/26/2023,HUB-Robinson Center:     ,Approved,75,125,General,,
Axis Halloween Sale Benefitting THON,Item Sale,Axis ,1747,10/24/2023,10/25/2023,HUB Robinson Center:     ,Approved,50,71,Special Interest,,
Gift Card Raffle Benefitting THON,Item Sale,Fayette,44,10/24/2023,11/6/2023,Penn State Fayette- The Elberly Campus:     ,Approved,8000,,Commonwealth,,
Vera Bradly Bingo Benefitting THON,Item Sale,Fayette,44,10/24/2023,11/5/2023,Penn State Fayette- The Elberly Campus:     ,Approved,5000,17990,Commonwealth,,
Alyssa and Amber X Sticker Sale X Benefitting THON,Item Sale,Alyssa Becker and Amber Singh (2024),3186,11/21/2023,12/4/2023,,Approved,500,,Independent Couple,,
FOTO Bracelets Benefitting THON,Item Sale,FOTO ,1336,10/25/2023,11/7/2023,,Approved,100,70,Special Interest,,
Ayuda X Bracelet Sale Benefitting THON,Item Sale,Ayuda ,1923,10/25/2023,10/26/2023,UP: HUB Information Table #8:,Approved,100,77.45,Special Interest,,
FOTO Halloween Table Benefitting THON,Item Sale,FOTO ,1336,10/25/2023,10/25/2023,HUB:     ,Approved,50,,Special Interest,,
Giuseppe's Night Benefitting THON,Restaurant Fundraiser,McHalea Beck and Emily Borell (2024),3114,11/21/2023,11/21/2023,Giuseppe’s Pizza & Family Restaurant: 990 2ND STREET PIKE  RICHBORO PA 18954,Approved,500,0,Independent Couple,,
Marios Pizza Benefitting THON,Restaurant Fundraiser,Carly Weisfelner and Emily Locker (2024),3085,11/21/2023,11/21/2023,Marios Pizzeria: 326 JERICHO TPKE  SYOSSET NY 11791,Approved,200,0,Independent Couple,,
Eclipse Pet of the Week Benefitting THON,Item Sale,Eclipse ,2020,10/25/2023,10/26/2023,,Canceled,5,,Special Interest,,
PLL Paint and Sip Benefitting THON,Item Sale,Lyrical Line Dance Company PLL ,79,10/25/2023,10/25/2023,The Meridian on College Avenue: 646 E COLLEGE AVE Apt 506 STATE COLLEGE PA 16801,Approved,50,50,General,,
Ribbon Fundraiser- The Trail to Oregon! x Benefitting THON,Item Sale,No Refund Theatre NRT,235,10/25/2023,10/25/2023,Forum 111:,Approved,30,83,General,,
Barre3 Benefitting THON,Event/Concert,Maggie Fechtman and Maddie Shine (2024),3071,11/22/2023,11/22/2023,Barre3 Berwyn: 579 LANCASTER AVE  BERWYN PA 19312,Approved,240,286,Independent Couple,,
Volé Ghost Gram Fundraiser Benefitting THON,Item Sale,Volé,126,10/25/2023,11/6/2023,HUB-Robeson Center:     ,Approved,75,231,General,,
HEAL Pumpkin Painting Benefitting THON,Item Sale,HEAL: Help Every Angel Live ,1540,10/25/2023,10/25/2023,Sackett Building:     ,Canceled,50,,Special Interest,,
A-7 Halloween Bracelet Sale Benefitting THON,Item Sale,A-7,1192,10/26/2023,10/26/2023,HUB:     ,Approved,80,82,Special Interest,,
Earth and Mineral Sciences Halloween Goodie Bag Sale Benefitting THON,Item Sale,Earth and Mineral Sciences Student Council EMS StuCo,105,10/26/2023,10/31/2023,14 Deike:,Denied,50,,General,,
Eclipse Scavanger Hunt Benefitting THON,Item Sale,Eclipse ,2020,10/26/2023,10/26/2023,Old Main:     ,Approved,170,70,Special Interest,,
ADPi & SAE's Ribbon Sale Benefitting THON,Item Sale,Alpha Delta Pi ADPi,20,10/27/2023,10/27/2023,Yallah Taco: 310 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,30,Greek,,
Axis Lion Shrine Benefitting THON,Item Sale,Axis ,1747,10/27/2023,10/27/2023,Nittany Lion Shrine on Curtin Rd. and Burrowes Rd.:     ,Approved,250,418.94,Special Interest,,
Alpha Omicron Pi & Phi Kappa Psi Yellow Ribbon Sale Benefitting THON,Item Sale,Alpha Omicron Pi AOII & Phi Kappa Psi,8 & 32,10/27/2023,10/27/2023,Family Clothesline: 352 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,134,Greek,,
Bunnies (pt. 5) Benefitting THON,Item Sale,World Campus,1318,10/27/2023,10/31/2023,,Approved,500,0,Commonwealth,,
Phi Gamma Nu Ribboning Fundraiser Benefitting THON,Item Sale,Phi Gamma Nu ,29,10/27/2023,10/27/2023,Yallah Taco: 310 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,1078.61,General,,
Yellow Ribbon Sale Benefitting THON,Item Sale,Caroline Sullivan and Kira Smith (2024),3073,11/22/2023,11/22/2023,Dolce Bagel & Cafe: 830 W BAY AVE UNIT 2  BARNEGAT NJ 08005,Approved,35,203,Independent Couple,,
Orchesis Dance Company Ribbon Sale Benefitting THON,Item Sale,Orchesis Dance Company ODC,124,10/27/2023,10/27/2023,The Family Clothesline: 352 E COLLEGE AVE STE B  STATE COLLEGE PA 16801,Approved,150,235,General,,
Friendship Bracelet Making Sale Benefitting THON,Item Sale,Penn State Fitness Instructors,1104,10/27/2023,10/27/2023,Penn State IM:     ,Approved,50,36,General,,
Phi Chi Theta Ribbon Sale at the Field Benefitting THON,Item Sale,Phi Chi Theta ,206,10/27/2023,10/27/2023,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,184,General,,
Delta Gamma x Delta Upsillon Ribbon Sale Benefitting THON,Item Sale,Delta Gamma & Delta Upsilon International Fraternity Delta Upsilon,1544 & 37,10/27/2023,10/27/2023,GNC: 200 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,301,Greek,,
Ribbon and Bracelet Sale Benefitting THON,Item Sale,Pi Kappa Phi Pi Kapp,3,10/27/2023,10/27/2023,Yallah Taco: 310 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,250,90,Greek,,
Alpha Phi Omega Coffee Sale Benefitting THON,Item Sale,Alpha Phi Omega ,54,10/28/2023,10/28/2023,HUB Table #4:,Denied,100,,General,,
Operation Blue and Gold Sticker Sale Benefitting THON,Item Sale,Operation Blue and Gold OBG,133,10/28/2023,10/28/2023,Wagner Building:     ,Approved,0,,General,,
Alpha Xi Delta & Lambda Chi Alpha Ribbon Sale Benefitting THON,Item Sale,Alpha Xi Delta AXID,31,10/28/2023,10/28/2023,The Original Waffle Shop West: 1610 W COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,400,,Greek,,
Phi Chi Theta Ribbon Sale at The Naked Egg Cafe Benefitting THON,Item Sale,Phi Chi Theta ,206,10/29/2023,10/29/2023,THe Naked Egg Cafe:     ,Canceled,100,,General,,
Suzanne x Juliana Benefitting THON,Item Sale,Juliana Toohey and Suzanne Connors (2024),3203,11/22/2023,11/22/2023,Colonial Village Market: 1305 W CHESTER PIKE  HAVERTOWN PA 19083,Approved,500,287.04,Independent Couple,,
Phi Gamma Nu Ribboning Fundraiser Benefitting THON,Item Sale,Phi Gamma Nu ,29,10/29/2023,10/29/2023,Urban Outfitters: 234 E COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,200,,General,,
Buckingham Bake Sale Benefitting THON,Bake Sale,Juliana Toohey and Suzanne Connors (2024),3203,11/24/2023,11/24/2023,Buckingham Pizza: 4950 YORK RD  HOLICONG PA 18928,Approved,100,91,Independent Couple,,
Kappa Kappa Gamma & Delta Chi Pumpkin Painting Benefitting THON,Item Sale,Delta Chi & Kappa Kappa Gamma,23 & 22,10/29/2023,10/29/2023,Delta Chi Fraternity: 424 E FAIRMOUNT AVE  STATE COLLEGE PA 16801,Approved,300,160,Greek,,
Volé x Alpha Sigma Phi 10/29 Ribbon Sale Benefitting THON,Item Sale,Alpha Sigma Phi & Volé,126 & 34,10/29/2023,10/29/2023,Starbucks: 180 E BEAVER AVE  STATE COLLEGE PA 16801,Canceled,100,,Greek,,
Phi Chi Theta Ribbon Sale at the Field Benefitting THON,Item Sale,Phi Chi Theta ,206,10/29/2023,10/29/2023,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,220,General,,
Whiplash and PKT's Ribbon Sale Benefitting THON,Item Sale,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,10/29/2023,10/29/2023,Family Clothes Line: 352 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,99.97,116,Greek,,
Sigma Kappa Ribbon Sale Benefitting THON,Item Sale,Sigma Kappa,35,10/29/2023,10/29/2023,Thomas 100:,Approved,100,50,Greek,,
Chick-fil-A x Abbey and Ana Benefitting THON,Restaurant Fundraiser,Abbey Picozzi and Ana Sophy (2024),3113,11/24/2023,11/24/2023,Chick-fil-A: 210 FORTY FOOT RD  LANSDALE PA 19446,Approved,300,0,Independent Couple,,
Abbey and Ana IDC Ribboning Benefitting THON,Restaurant Fundraiser,Abbey Picozzi and Ana Sophy (2024),3113,11/24/2023,11/24/2023,Nat's Pizza: 138 W STATE ST  DOYLESTOWN PA 18901,Approved,200,103,Independent Couple,,
PSU Figure Skating Gardner's Candies Benefitting THON,Item Sale,Figure Skating,1334,10/29/2023,11/11/2023,,Approved,100,,General,,
Phi Sigma Pi Pumpkin Painting Benefitting THON,Item Sale,Phi Sigma Pi PSP,60,10/29/2023,10/29/2023,Willard 369:,Canceled,50,,General,,
Pie-in-the-Face & Tie Dye x Circle K Benefitting THON,Item Sale,Circle K ,84,10/29/2023,10/29/2023,HUB Lawn:     ,Denied,50,,General,,
Family Relations Ribbon Sale Benefitting THON,Item Sale,THON Family Relations,1003,10/29/2023,10/29/2023,The Family Clothesline: 352 E COLLEGE AVE STE B  STATE COLLEGE PA 16801,Approved,100,122,joint,,
Entertainment Bingo Board Benefitting THON,Item Sale,THON Entertainment,1002,10/29/2023,11/8/2023,,Canceled,300,,joint,,
Van Otis Chocolates (pt. 2) Benefitting THON,Item Sale,World Campus,1318,10/30/2023,11/5/2023,,Approved,100,0,Commonwealth,,
Bagel Mater X Carly and Emily Benefitting THON,Restaurant Fundraiser,Carly Weisfelner and Emily Locker (2024),3085,11/24/2023,11/25/2023,Bagel Master: 43 COLD SPRING RD  SYOSSET NY 11791,Approved,100,731,Independent Couple,,
Pumpkin Party Snack Table Benefitting THON,Item Sale,Blue & White Society BWS ,53,10/30/2023,10/30/2023,The Hintz Family Alumni Center:     ,Approved,20,47,General,,
F45 Newtown Benefitting THON,Business Sponsorship,Ella Palmieri and Paige Blankenhorn (2024),3084,11/25/2023,11/25/2023,"F45 Training Newtown, PA: 2833 S EAGLE RD  NEWTOWN PA 18940",Approved,400,339,Independent Couple,,
Ribboning at Village Bagel Benefitting THON,Coin Collection,Gigi Corazzi and Alyssa Aprahamian (2024),3125,11/25/2023,11/25/2023,Village Bagel Company: 1438 EASTON RD  WARRINGTON PA 18976,Approved,100,,Independent Couple,,
Ribboning at The Juice Pod Benefitting THON,Coin Collection,Hannah Feldman and Maggie O'Neill (2024),3129,11/25/2023,11/25/2023,The Juice Pod: 903 W LANCASTER AVE  BRYN MAWR PA 19010,Approved,100,138.75,Independent Couple,,
Delta Sigma Pi Pumpkin Carving Benefitting THON,Item Sale,Delta Sigma Pi ,85,10/30/2023,10/30/2023,433 W College Ave:,Approved,150,300,General,,
Vertical Jump Fundraiser for Behrend Benefitting THON,Item Sale,Behrend,73,10/30/2023,11/12/2023,,Approved,500,,Commonwealth,,
Penn State Law Fortune Reading Benefitting THON,Item Sale,Penn State Law,1552,10/31/2023,11/2/2023,Katz building atrium:     ,Canceled,20,,Commonwealth,,
"Week Trip in Cranberry Lake, NY Benefitting THON",Item Auction,Maggie Fechtman and Maddie Shine (2024),3071,11/25/2023,12/8/2023,,Approved,2000,725,Independent Couple,,
Alpha Epsilon Deltha X Phi Epsilon Kappa Pumpkin Carving Benefitting THON,Item Sale,Alpha Epsilon Delta & Phi Epsilon Kappa PEK,65 & 2457,10/31/2023,10/31/2023,HUB Lawn:     ,Approved,75,60,Greek,,
Dance Alliance X Pura Vida Bracelet Sale Benefitting THON,Item Sale,Dance Alliance PSDA,1553,10/31/2023,10/31/2023,,Approved,200,200,General,,
Penn State Lehigh Valley Children's Book Drive Benefitting THON,Item Sale,Lehigh Valley,113,11/1/2023,11/14/2023,Penn State Lehigh Valley:     ,Approved,500,,Commonwealth,,
SNAPS Paint A Pumpkin Benefitting THON,Item Sale,Student Nurses' Association at Penn State SNAPS,104,11/1/2023,11/1/2023,The Arboretum at Penn State:     ,Approved,100,72,General,,
Club Cross Country Halloween Candygrams Benefitting THON,Item Sale,Club Cross Country XC,305,11/1/2023,11/1/2023,Rec Hall:     ,Approved,65,96.01,General,,
Hitz Different R&R Committee X Ribbon Sale Benefitting THON,Item Sale,Security Team 7,2529,11/1/2023,11/3/2023,HUB-Robeson Center:     ,Approved,100,6,joint,,
Dancer Relations Committee Pie a DR Captain Benefitting THON,Item Sale,THON Dancer Relations,1006,11/2/2023,11/2/2023,HUB Lawn North:     ,Approved,400,1012.8,joint,,
For Laura Pins Benefitting THON,Item Sale,THON OPPerations,1007,11/2/2023,11/14/2023,Willard Building:     ,Approved,150,140,joint,,
AYS halloween sale Benefitting THON,Item Sale,Arabian Youth Society AYS,3216,11/2/2023,11/2/2023,Aspen Building 1: 1275 E PENNSYLVANIA AVE  STATE COLLEGE PA 16801,Denied,53,,joint,,
Ribbon Fundraiser- Alibis x Benefitting THON,Item Sale,No Refund Theatre NRT,235,11/2/2023,11/4/2023,Forum 111:,Approved,50,40,General,,
Trilogy and Phi Sigma Kappa Ribboning Benefitting THON,Item Sale,Phi Sigma Kappa PSK & Trilogy ,72 & 10,11/3/2023,11/3/2023,The Corner Room: 100 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,187.05,Greek,,
Phi Chi Theta Ribbon Sale at the Field Benefitting THON,Item Sale,Phi Chi Theta ,206,11/3/2023,11/3/2023,The Field burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,70,General,,
Kappa Alpha Theta Permanent Jewelry Fundraiser Benefitting THON,Item Sale,Kappa Alpha Theta,14,11/3/2023,11/3/2023,Kappa Alpha Theta Head THON Chair's House: 118 E PROSPECT AVE  STATE COLLEGE PA 16801,Approved,150,0,Greek,,
Pie a KappaDchi Benefitting THON,Item Sale,Delta Chi & Kappa Kappa Gamma,23 & 22,11/3/2023,11/3/2023,Hub Lawn:     ,Approved,200,124,Greek,,
Grilled Cheese Fundraiser Benefitting THON,Item Sale,Nittany Dance Project NDP & Theta Chi,102 & 2876,11/3/2023,11/3/2023,Theta Chi Fraternity House: 523 S ALLEN ST  STATE COLLEGE PA 16801,Approved,115,546,Greek,,
Cookies-In-A-Jar Benefitting THON,Bake Sale,Ashtyn Webb and Gab Zuckerman (2024),3089,11/27/2023,12/10/2023,Delivery:     ,Approved,100,440,Independent Couple,,
FOTO Pancake Breakfast Benefitting THON,Item Sale,FOTO ,1336,11/4/2023,11/4/2023,Nittany Apartments:     ,Approved,50,78,Special Interest,,
Alpha Xi Delta & Lambda Chi Alpha Ribbon Sale Benefitting THON,Item Sale,Alpha Xi Delta AXID & Lambda Chi Alpha,31 & 5,11/4/2023,11/4/2023,The Original Waffle Shop West: 1610 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,400,259,Greek,,
Alpha Omicron Pi & Phi Kappa Psi Yellow Ribbon Sale Benefitting THON,Item Sale,Alpha Omicron Pi AOII & Phi Kappa Psi,8 & 32,11/5/2023,11/5/2023,Mclanahans Penn State Room: 414 E COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,100,,Greek,,
Phi Chi Theta Ribbon Sale at the Field Benefitting THON,Item Sale,Phi Chi Theta ,206,11/5/2023,11/5/2023,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,,General,,
Whiplash and PKT's Ribbon Sale Benefitting THON,Item Sale,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,11/5/2023,11/5/2023,Family Clothes Line: 352 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,75,Greek,,
Pi Beta Phi and Sigma Phi Epsilon Family Cookout Benefitting THON,Item Sale,Pi Beta Phi Pi Phi,18,11/5/2023,11/5/2023,Sigma Phi Epsilon Chapter House: 524 LOCUST LN  STATE COLLEGE PA 16801,Approved,250,512,Greek,,
Movie Night Benefitting THON,Event/Concert,Brandon Shunk and Matthew Barber (2024),3068,11/27/2023,11/27/2023,Forum Building:     ,Denied,100,,Independent Couple,,
Behrend Ribbon Sales at Walmart Benefitting THON,Item Sale,Behrend,73,11/5/2023,11/5/2023,Walmart Supercenter: 1825 DOWNS DR  ERIE PA 16509,Approved,500,1504.13,Commonwealth,,
Finals Care Packages Benefitting THON,Item Sale,Jamie Semmer and Ashley Pearson (2024),3117,11/27/2023,12/10/2023,,Approved,300,,Independent Couple,,
Wilkes-Barre Apparel Sale Benefitting THON,Item Sale,Wilkes-Barre,76,11/5/2023,11/18/2023,Penn State Wilkes-Barre: 44 UNIVERSITY DR  DALLAS PA 18612,Approved,400,586,Commonwealth,,
Penn State Law Cold Call Abstentions Benefitting THON,Item Sale,Penn State Law,1552,11/6/2023,11/9/2023,Katz building atrium:     ,Approved,300,88,Commonwealth,,
Phi Eta Sigma Pumpkin Painting Benefitting THON,Item Sale,Phi Eta Sigma ,111,11/6/2023,11/6/2023,Thomas Building Room 219:,Approved,50,,General,,
