fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
Sigma Kappa and Fiji 100 days to THON Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Phi Gamma Delta & Sigma Kappa,35 & 19,11/8/2023,11/8/2023,HUB Robertson Center:     ,Denied,200,,Greek,,
100 Days 'Till THON - Create Your Own Sand Art Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Alpha Epsilon Pi AEPi & Alpha Phi,12 & 118,11/8/2023,11/8/2023,HUB Atrium:     ,Canceled,100,,Greek,,
Mack Madness 100 Days Fundraiser Benefitting THON,100 Days 'Til THON Alternative Fundraiser,"Mack Madness ""Mackie""",2685,11/8/2023,11/8/2023,HUB:     ,Denied,125,,Special Interest,,
Beaded Bracelets Alexa and Kayla Breisch x Benefitting THON,Item Sale,Alexa Breisch and Kayla Breisch (2024),3108,9/3/2023,9/16/2023,,Approved,100,55,Independent Couple,,
100 Days 'Till THON - Jar Sand Art Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Alpha Epsilon Pi AEPi & Alpha Phi,12 & 118,11/8/2023,11/8/2023,The HUB atrium:     ,Denied,100,,Greek,,
Ayuda 100 Days Until THON Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Ayuda ,1923,11/8/2023,11/8/2023,HUB-Robenson Center:     ,Denied,500,,Special Interest,,
100 Days 'Til THON Sand Art Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Boulevard BLVD,1784,11/8/2023,11/8/2023,HUB-Robeson Center:     ,Denied,400,,General,,
Game Day Pins Benefitting THON,Item Sale,Riley Neglia and Kari Jim (2024),3137,9/4/2023,9/16/2023,Riley Neglia's Apartment: 320 E BEAVER AVE Apartment 423 STATE COLLEGE PA 16801,Canceled,200,,Independent Couple,,
PSU Football Whiteout Ticket/Parking Spot Auction Benefitting THON,Item Auction,Mia Paschuck and Sophia Reinke (2024),3100,9/7/2023,9/10/2023,,Approved,200,,Independent Couple,,
Shop Don't Blink x Carly and Emily Benefitting THON,Item Sale,Carly Weisfelner and Emily Locker (2024),3085,9/9/2023,9/9/2023,,Approved,200,,Independent Couple,,
Gameday Friendship Bracelets Benefitting THON,Item Sale,Kayla Best and Simone Garafalo (2024),3118,9/10/2023,9/22/2023,Penn Tower (Kayla's Apartment): 255 E BEAVER AVE Apt 402 STATE COLLEGE PA 16801,Approved,80,216,Independent Couple,,
Hot Dog Sale Benefitting THON,Bake Sale,Anna Boyer and Diane Friedman (2024),3086,9/17/2023,9/17/2023,Anna's House: 429 W COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,100,,Independent Couple,,
SDT 100 Days Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Sigma Delta Tau,24,11/8/2023,11/8/2023,Hub- Robenson Center:     ,Approved,100,37.02,Greek,,
Brooke & McKenna Pasta Dinner Benefitting THON,Benefit Dinner,Brooke Rockovits and McKenna Byrne (2024),3112,9/17/2023,9/17/2023,Bryce Jordan Tower: 463 E BEAVER AVE  STATE COLLEGE PA 16801,Canceled,200,,Independent Couple,,
Brooke & McKenna Pasta Dinner Benefitting THON,Benefit Dinner,Brooke Rockovits and McKenna Byrne (2024),3112,9/17/2023,9/17/2023,Bryce Jordan Tower: 463 E BEAVER AVE Apt 607 STATE COLLEGE PA 16801,Approved,200,290,Independent Couple,,
Kaizen x Operation Blue and Gold 100 Days Fundraiser Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Kaizen  & Operation Blue and Gold OBG,133 & 1896,11/8/2023,11/8/2023,HUB:     ,Denied,70,,Special Interest,,
Pasta Dinner Benefitting THON,Benefit Dinner,Gigi Corazzi and Alyssa Aprahamian (2024),3125,9/17/2023,9/17/2023,Gigi Corazzi:     ,Approved,200,,Independent Couple,,
